secid,date,symbol,symbol_flag,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,vega,theta,optionid,cfadj,am_settlement,contract_size,ss_flag,forward_price,expiry_indicator,root,suffix,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,issuer,exercise_style
106457,2016-09-06,IYG 160916C74000,1,2016-09-16,,C,74000,15.1,16.2,0,0,,,,,,112493395,1,0,100,0,,,,,46428777,IYG,,0,1,,%,,BLACKROCK INSTITUTIONAL TRUS,A
106457,2016-09-06,IYG 160916C75000,1,2016-09-16,,C,75000,14.1,15.2,0,0,,,,,,112493396,1,0,100,0,,,,,46428777,IYG,,0,1,,%,,BLACKROCK INSTITUTIONAL TRUS,A
106457,2016-09-06,IYG 160916C76000,1,2016-09-16,,C,76000,13.1,14.2,0,0,,,,,,112493397,1,0,100,0,,,,,46428777,IYG,,0,1,,%,,BLACKROCK INSTITUTIONAL TRUS,A
106457,2016-09-06,IYG 160916C77000,1,2016-09-16,,C,77000,12.1,13.2,0,0,,,,,,112493398,1,0,100,0,,,,,46428777,IYG,,0,1,,%,,BLACKROCK INSTITUTIONAL TRUS,A
106457,2016-09-06,IYG 160916C78000,1,2016-09-16,,C,78000,11.1,12.2,0,0,,,,,,112493399,1,0,100,0,,,,,46428777,IYG,,0,1,,%,,BLACKROCK INSTITUTIONAL TRUS,A
106457,2016-09-06,IYG 160916C79000,1,2016-09-16,,C,79000,10.1,11.2,0,0,,,,,,112493400,1,0,100,0,,,,,46428777,IYG,,0,1,,%,,BLACKROCK INSTITUTIONAL TRUS,A
106457,2016-09-06,IYG 160916C80000,1,2016-09-16,,C,80000,9.1,10.2,0,0,,,,,,112493401,1,0,100,0,,,,,46428777,IYG,,0,1,,%,,BLACKROCK INSTITUTIONAL TRUS,A
106457,2016-09-06,IYG 160916C81000,1,2016-09-16,,C,81000,8.1,9.2,0,0,,,,,,112493402,1,0,100,0,,,,,46428777,IYG,,0,1,,%,,BLACKROCK INSTITUTIONAL TRUS,A
106457,2016-09-06,IYG 160916C82000,1,2016-09-16,,C,82000,7.1,8.2,0,0,,,,,,112493403,1,0,100,0,,,,,46428777,IYG,,0,1,,%,,BLACKROCK INSTITUTIONAL TRUS,A
106457,2016-09-06,IYG 160916C83000,1,2016-09-16,,C,83000,6.1,7.2,0,0,,,,,,112493404,1,0,100,0,,,,,46428777,IYG,,0,1,,%,,BLACKROCK INSTITUTIONAL TRUS,A
106457,2016-09-06,IYG 160916C84000,1,2016-09-16,,C,84000,5.1,6.2,0,0,,,,,,112493405,1,0,100,0,,,,,46428777,IYG,,0,1,,%,,BLACKROCK INSTITUTIONAL TRUS,A
106457,2016-09-06,IYG 160916C85000,1,2016-09-16,,C,85000,4.1,5.2,0,0,,,,,,112493406,1,0,100,0,,,,,46428777,IYG,,0,1,,%,,BLACKROCK INSTITUTIONAL TRUS,A
106457,2016-09-06,IYG 160916C86000,1,2016-09-16,,C,86000,3.1,4.2,0,0,,,,,,112493407,1,0,100,0,,,,,46428777,IYG,,0,1,,%,,BLACKROCK INSTITUTIONAL TRUS,A
106457,2016-09-06,IYG 160916C87000,1,2016-09-16,,C,87000,2.45,3.1,0,0,0.124534,0.93378,0.069596,1.911156,-4.715033,112493408,1,0,100,0,,,,,46428777,IYG,,0,1,,%,,BLACKROCK INSTITUTIONAL TRUS,A
106457,2016-09-06,IYG 160916C88000,1,2016-09-16,,C,88000,1.55,2.2,0,0,0.119961,0.837747,0.137844,3.644237,-8.31854,112493409,1,0,100,0,,,,,46428777,IYG,,0,1,,%,,BLACKROCK INSTITUTIONAL TRUS,A
106457,2016-09-06,IYG 160916C89000,1,2016-09-16,,C,89000,0.8,1.45,0,0,0.119761,0.661613,0.205602,5.43042,-12.13346,112493410,1,0,100,0,,,,,46428777,IYG,,0,1,,%,,BLACKROCK INSTITUTIONAL TRUS,A
106457,2016-09-06,IYG 160916C90000,1,2016-09-16,,C,90000,0.4,0.9,0,0,0.131712,0.447767,0.202175,5.872725,-14.29479,112493411,1,0,100,0,,,,,46428777,IYG,,0,1,,%,,BLACKROCK INSTITUTIONAL TRUS,A
106457,2016-09-06,IYG 160916C91000,1,2016-09-16,,C,91000,0,0.55,0,0,0.12513,0.250589,0.171224,4.723847,-10.88988,112493412,1,0,100,0,,,,,46428777,IYG,,0,1,,%,,BLACKROCK INSTITUTIONAL TRUS,A
106457,2016-09-06,IYG 160916C92000,1,2016-09-16,,C,92000,0,0.55,0,0,0.173489,0.195237,0.107094,4.099018,-13.0498,112493413,1,0,100,0,,,,,46428777,IYG,,0,1,,%,,BLACKROCK INSTITUTIONAL TRUS,A
106457,2016-09-06,IYG 160916C93000,1,2016-09-16,,C,93000,0,0.5,0,0,0.210432,0.155583,0.076453,3.548065,-13.68579,112493414,1,0,100,0,,,,,46428777,IYG,,0,1,,%,,BLACKROCK INSTITUTIONAL TRUS,A
106457,2016-09-06,IYG 160916C94000,1,2016-09-16,,C,94000,0,0.5,0,0,0.250735,0.135331,0.058423,3.226281,-14.83433,112493415,1,0,100,0,,,,,46428777,IYG,,0,1,,%,,BLACKROCK INSTITUTIONAL TRUS,A
106457,2016-09-06,IYG 160916P74000,1,2016-09-16,,P,74000,0,0.5,0,0,0.741994,-0.051551,0.009597,1.566706,-21.23957,112493416,1,0,100,0,,,,,46428777,IYG,,0,1,,%,,BLACKROCK INSTITUTIONAL TRUS,A
106457,2016-09-06,IYG 160916P75000,1,2016-09-16,,P,75000,0,0.5,0,0,0.70014,-0.054304,0.0106,1.633196,-20.88425,112493417,1,0,100,0,,,,,46428777,IYG,,0,1,,%,,BLACKROCK INSTITUTIONAL TRUS,A
106457,2016-09-06,IYG 160916P76000,1,2016-09-16,,P,76000,0,0.5,0,0,0.658481,-0.057357,0.011767,1.706457,-20.50581,112493418,1,0,100,0,,,,,46428777,IYG,,0,1,,%,,BLACKROCK INSTITUTIONAL TRUS,A
106457,2016-09-06,IYG 160916P77000,1,2016-09-16,,P,77000,0,0.5,0,0,0.616969,-0.060768,0.01314,1.787204,-20.1011,112493419,1,0,100,0,,,,,46428777,IYG,,0,1,,%,,BLACKROCK INSTITUTIONAL TRUS,A
106457,2016-09-06,IYG 160916P78000,1,2016-09-16,,P,78000,0,0.5,0,0,0.575558,-0.064611,0.014774,1.875769,-19.66663,112493420,1,0,100,0,,,,,46428777,IYG,,0,1,,%,,BLACKROCK INSTITUTIONAL TRUS,A
106457,2016-09-06,IYG 160916P79000,1,2016-09-16,,P,79000,0,0.5,0,0,0.534198,-0.068984,0.016745,1.972885,-19.19838,112493421,1,0,100,0,,,,,46428777,IYG,,0,1,,%,,BLACKROCK INSTITUTIONAL TRUS,A
106457,2016-09-06,IYG 160916P80000,1,2016-09-16,,P,80000,0,0.5,0,0,0.492833,-0.074014,0.019157,2.08105,-18.69106,112493422,1,0,100,0,,,,,46428777,IYG,,0,1,,%,,BLACKROCK INSTITUTIONAL TRUS,A
106457,2016-09-06,IYG 160916P81000,1,2016-09-16,,P,81000,0,0.5,0,0,0.451388,-0.079879,0.022163,2.204054,-18.13708,112493423,1,0,100,0,,,,,46428777,IYG,,0,1,,%,,BLACKROCK INSTITUTIONAL TRUS,A
