secid,date,days,forward_price,strike_price,impl_volatility,cp_flag,index_flag
106457,2006-02-03,10,114.845108,0,,C,0
106457,2006-02-03,30,115.143967,115.143967,0.200365,C,0
106457,2006-02-03,60,115.606774,115.606774,0.126557,C,0
106457,2006-02-03,91,116.095268,116.095268,0.11999,C,0
106457,2006-02-03,122,116.591176,116.591176,0.118585,C,0
106457,2006-02-03,152,117.07671,117.07671,0.114258,C,0
106457,2006-02-03,182,117.564234,117.564234,0.112896,C,0
106457,2006-02-03,10,114.845108,0,,P,0
106457,2006-02-03,30,115.143967,115.143967,0.359434,P,0
106457,2006-02-03,60,115.606774,115.606774,0.157894,P,0
106457,2006-02-03,91,116.095268,116.095268,0.157758,P,0
106457,2006-02-03,122,116.591176,116.591176,0.158412,P,0
106457,2006-02-03,152,117.07671,117.07671,0.160833,P,0
106457,2006-02-03,182,117.564234,117.564234,0.16129,P,0
106457,2006-02-06,10,115.085605,0,,C,0
106457,2006-02-06,30,115.386914,115.386914,0.13894,C,0
106457,2006-02-06,60,115.852263,115.852263,0.134092,C,0
106457,2006-02-06,91,116.344157,116.344157,0.1214,C,0
106457,2006-02-06,122,116.844803,116.844803,0.11892,C,0
106457,2006-02-06,152,117.335625,117.335625,0.11286,C,0
106457,2006-02-06,182,117.827827,117.827827,0.11135,C,0
106457,2006-02-06,10,115.085605,0,,P,0
106457,2006-02-06,30,115.386914,115.386914,0.140642,P,0
106457,2006-02-06,60,115.852263,115.852263,0.146304,P,0
106457,2006-02-06,91,116.344157,116.344157,0.156652,P,0
106457,2006-02-06,122,116.844803,116.844803,0.157664,P,0
106457,2006-02-06,152,117.335625,117.335625,0.16038,P,0
106457,2006-02-06,182,117.827827,117.827827,0.160763,P,0
106457,2006-02-07,10,114.344915,0,,C,0
106457,2006-02-07,30,114.644901,114.644901,0.210285,C,0
106457,2006-02-07,60,115.107534,115.107534,0.122771,C,0
106457,2006-02-07,91,115.596518,115.596518,0.121892,C,0
106457,2006-02-07,122,116.093124,116.093124,0.121005,C,0
106457,2006-02-07,152,116.579612,116.579612,0.116298,C,0
106457,2006-02-07,182,117.067391,117.067391,0.113875,C,0
106457,2006-02-07,10,114.344915,0,,P,0
106457,2006-02-07,30,114.644901,114.644901,0.15907,P,0
106457,2006-02-07,60,115.107534,115.107534,0.159068,P,0
106457,2006-02-07,91,115.596518,115.596518,0.159106,P,0
106457,2006-02-07,122,116.093124,116.093124,0.160584,P,0
106457,2006-02-07,152,116.579612,116.579612,0.164767,P,0
106457,2006-02-07,182,117.067391,117.067391,0.165607,P,0
106457,2006-02-08,10,114.99589,0,,C,0
106457,2006-02-08,30,115.298356,115.298356,0.143618,C,0
106457,2006-02-08,60,115.764685,115.764685,0.135578,C,0
106457,2006-02-08,91,116.258415,116.258415,0.125539,C,0
106457,2006-02-08,122,116.760358,116.760358,0.122565,C,0
106457,2006-02-08,152,117.252504,117.252504,0.115661,C,0
106457,2006-02-08,182,117.746384,117.746384,0.114128,C,0
106457,2006-02-08,10,114.99589,0,,P,0
106457,2006-02-08,30,115.298356,115.298356,0.137248,P,0
106457,2006-02-08,60,115.764685,115.764685,0.145961,P,0
106457,2006-02-08,91,116.258415,116.258415,0.154218,P,0
106457,2006-02-08,122,116.760358,116.760358,0.155845,P,0
106457,2006-02-08,152,117.252504,117.252504,0.159532,P,0
106457,2006-02-08,182,117.746384,117.746384,0.159972,P,0
106457,2006-02-09,10,115.345916,0,,C,0
106457,2006-02-09,30,115.639277,115.639277,0.208185,C,0
106457,2006-02-09,60,116.103449,116.103449,0.119628,C,0
106457,2006-02-09,91,116.600587,116.600587,0.117244,C,0
106457,2006-02-09,122,117.104283,117.104283,0.113878,C,0
106457,2006-02-09,152,117.598439,117.598439,0.109224,C,0
106457,2006-02-09,182,118.094226,118.094226,0.108504,C,0
106457,2006-02-09,10,115.345916,0,,P,0
106457,2006-02-09,30,115.639277,115.639277,0.25954,P,0
106457,2006-02-09,60,116.103449,116.103449,0.149833,P,0
106457,2006-02-09,91,116.600587,116.600587,0.149746,P,0
106457,2006-02-09,122,117.104283,117.104283,0.152779,P,0
106457,2006-02-09,152,117.598439,117.598439,0.158133,P,0
106457,2006-02-09,182,118.094226,118.094226,0.158675,P,0
106457,2006-02-10,10,115.756475,0,,C,0
106457,2006-02-10,30,116.050918,116.050918,0.203983,C,0
106457,2006-02-10,60,116.518124,116.518124,0.118917,C,0
106457,2006-02-10,91,117.017852,117.017852,0.114593,C,0
